name	address	city	state	zip	url
JAZZ BISTRO ON 4TH	527 4th Ave B	Fairbanks	AK	99701	https://www.dinersdriveinsdiveslocations.com/jazz-bistro-on-4th-alaska.html
SALTY'S ON 2ND	706 2nd Ave	Fairbanks	AK	99701	https://www.dinersdriveinsdiveslocations.com/saltys-on-2nd-alaska.html
SEOUL CASA	601 E Dimond Blvd #6th	Anchorage	AK	99515	https://www.dinersdriveinsdiveslocations.com/seoul-casa-alaska.html
ORIGINALE	400 D St	Anchorage	AK	99501	https://www.dinersdriveinsdiveslocations.com/originale-alaska.html
TEQUILA 61	445 W 4th Ave	Anchorage	AK	99501	https://www.dinersdriveinsdiveslocations.com/tequila-61-alaska.html
WAFFLES AND WHATNOT	500 Muldoon Rd #5	Anchorage	AK	99504	https://www.dinersdriveinsdiveslocations.com/waffles-and-whatnot-alaska.html
HAUTE QUARTER GRILL	525 W 4th Ave	Anchorage	AK	99501	https://www.dinersdriveinsdiveslocations.com/haute-quarter-grill-alaska.html
RAY'S PLACE	2412 Spenard Rd	Anchorage	AK	99503	https://www.dinersdriveinsdiveslocations.com/rays-place-vietnamese-cuisine-alaska.html
MATT'S BIG BREAKFAST	825 N. 1st St.	Phoenix	AZ	85004	https://www.dinersdriveinsdiveslocations.com/matts-big-breakfast-arizona.html
ROBERTO'S MEXICAN FOOD	39510 N. Daisy Mountain Dr. Suite #170	Phoenix	AZ	85086	https://www.dinersdriveinsdiveslocations.com/robertos-mexican-food-arizona.html
THEE PITT'S AGAIN	5558 W. Bell Rd.	Glendale	AZ	85308	https://www.dinersdriveinsdiveslocations.com/thee-pitts-again-arizona.html
CHINO BANDIDO	15414 N 19th Ave Suite K	Phoenix	AZ	85023	https://www.dinersdriveinsdiveslocations.com/chino-bandido-arizona.html
JOE'S FARM GRILL	3000 East Ray Rd. Bldg. 1	Gilbert	AZ	85296	https://www.dinersdriveinsdiveslocations.com/joes-farm-grill-arizona.html
AUNT LENA'S CREAMERY	4040 S Arizona Ave	Chandler	AZ	85248	https://www.dinersdriveinsdiveslocations.com/aunt-lenas-creamery-arizona.html
SALSA BRAVA	2220 E Route 66	Flagstaff	AZ	86004	https://www.dinersdriveinsdiveslocations.com/salsa-brava-arizona.html
HAUS MURPHY'S	5739 W Glendale Ave	Glendale	AZ	85301	https://www.dinersdriveinsdiveslocations.com/haus-murphys-arizona.html
BRANDY'S RESTAURANT & BAKERY	1500 E Cedar Avenue	Flagstaff	AZ	86004	https://www.dinersdriveinsdiveslocations.com/brandys-restaurant-bakery-arizona.html
LA PIAZZA AL FORNA	5803 W Glendale Ave	Glendale	AZ	85301	https://www.dinersdriveinsdiveslocations.com/la-piazza-al-forno-arizona.html
GIUSEPPE'S ON 28TH	2824 E. Indian School Rd.	Phoenix	AZ	85016	https://www.dinersdriveinsdiveslocations.com/giuseppes-italian-kitchen-arizona.html
LOS TAQUITOS GRILL	4747 East Elliot Rd.	Phoenix	AZ	85044	https://www.dinersdriveinsdiveslocations.com/los-taquitos-grill-arizona.html
OVER EASY	4730 E. Indian School Rd., #123	Phoenix	AZ	85018	https://www.dinersdriveinsdiveslocations.com/over-easy-arizona.html
PERK EATERY	6501 E Greenway Pkwy	Scottsdale	AZ	85254	https://www.dinersdriveinsdiveslocations.com/perk-eatery-arizona.html
ST FRANCIS RESTAURANT	111 E Camelback Rd	Phoenix	AZ	85012	https://www.dinersdriveinsdiveslocations.com/st-francis-restaurant-arizona.html
BARRIO CAFE	2814 N 16th St	Phoenix	AZ	85006	https://www.dinersdriveinsdiveslocations.com/barrio-cafe-arizona.html
CURRY CORNER	1212 E Apache Blvd	Tempe	AZ	85281	https://www.dinersdriveinsdiveslocations.com/curry-corner-arizona.html
DUCE	525 S Central Ave	Phoenix	AZ	85004	https://www.dinersdriveinsdiveslocations.com/duce-arizona.html
DEFALCO'S ITALIAN GROCERY	2334 N Scottsdale Rd, Ste A133	Scottsdale	AZ	85257	https://www.dinersdriveinsdiveslocations.com/defalcos-italian-grocery-arizona.html
TOM'S THUMB FRESH MARKET	9393 East Bell Road, Ste A133	Scottsdale	AZ	85260	https://www.dinersdriveinsdiveslocations.com/toms-thumb-fresh-market-arizona.html
ANDREOLI ITALIAN GROCER	8880 East Via Linda	Scottsdale	AZ	85258	https://www.dinersdriveinsdiveslocations.com/andreoli-italian-grocer-arizona.html
PARADISE VALLEY BURGER	4001 East Bell Road #102	Phoenix	AZ	85032	https://www.dinersdriveinsdiveslocations.com/paradise-valley-burger-company-arizona.html
WILD THAIGER	2631 North Central Avenue	Phoenix	AZ	85004	https://www.dinersdriveinsdiveslocations.com/wild-thaiger-arizona.html
LA SANTISIMA GOURMET TACO SHOP	1919 N. 16th St	Phoenix	AZ	85006	https://www.dinersdriveinsdiveslocations.com/la-santisima-gourmet-taco-shop-arizona.html
SAL'S GILBERT PIZZA	1150 South Gilbert Road	Gilbert	AZ	85296	https://www.dinersdriveinsdiveslocations.com/sals-gilbert-pizza-arizona.html
FAT OLIVES	2308 Historic Rte 66	Flagstaff	AZ	86004	https://www.dinersdriveinsdiveslocations.com/fat-olives-arizona.html
GRUBSTAK	384 N Gilbert Rd #106	Gilbert	AZ	85234	https://www.dinersdriveinsdiveslocations.com/grubstak-arizona.html
TACO CHIWAS	1923 E McDowell Rd	Phoenix	AZ	85006	https://www.dinersdriveinsdiveslocations.com/tacos-chiwas-arizona.html
REPUBLIC EMPANADA	204 E 1st Ave	Mesa	AZ	85210	https://www.dinersdriveinsdiveslocations.com/republica-empanada-arizona.html
BOOTLEGGERS	3375 E Shea Blvd	Phoenix	AZ	85028	https://www.dinersdriveinsdiveslocations.com/bootleggers-modern-american-smokehouse-arizona.html
SLANTED RICE	6149 N Scottsdale Rd	Scottsdale	AZ	85250	https://www.dinersdriveinsdiveslocations.com/slanted-rice-vietnamese-bistro-arizona.html
ALOHA KITCHEN	2950 S Alma School Rd #12	Mesa	AZ	85210	https://www.dinersdriveinsdiveslocations.com/aloha-kitchen-arizona.html
RENEE'S ORGANIC OVEN	7065 E Tanque Verde Rd	Tucson	AZ	85715	https://www.dinersdriveinsdiveslocations.com/renees-organic-oven-arizona.html
ZEMAM'S	2731 E Broadway Blvd	Tucson	AZ	85716	https://www.dinersdriveinsdiveslocations.com/zemams-arizona.html
TUMERICO	2526 E 6th St	Tucson	AZ	85716	https://www.dinersdriveinsdiveslocations.com/tumerico-arizona.html
CHEF ALISAH	5931 N Oracle Rd #117	Tucson	AZ	85704	https://www.dinersdriveinsdiveslocations.com/chef-alisah-arizona.html
INCA'S PERUVIAN CUISINE	6878 E Sunrise Dr	Tucson	AZ	85750	https://www.dinersdriveinsdiveslocations.com/incas-peruvian-cuisine-arizona.html
ROCCO'S LITTLE CHICAGO PIZZERIA	2707 E Broadway Blvd	Tucson	AZ	85716	https://www.dinersdriveinsdiveslocations.com/roccos-little-chicago-pizzeria-arizona.html
FLYWAY BREWING	314 Maple St	North Little Rock	AR	72114	https://www.dinersdriveinsdiveslocations.com/flyway-brewing-arkansas.html
NORTH BAR	3812 J.F.K. Blvd	North Little Rock	AR	72116	https://www.dinersdriveinsdiveslocations.com/north-bar-arkansas.html
THE ROOT CAFE	1500 Main St	Little Rock	AR	72202	https://www.dinersdriveinsdiveslocations.com/the-root-cafe-arkansas.html
BRUNO'S LITTLE ITALY	310 Main St #101	Little Rock	AR	72201	https://www.dinersdriveinsdiveslocations.com/brunos-little-italy-arkansas.html
LA TERRAZA RUM & LOUNGE	3000 Kavanaugh Blvd #202	Little Rock	AR	72205	https://www.dinersdriveinsdiveslocations.com/la-terraza-rum-lounge-arkansas.html
THE FOLD BOTANAS & BAR	3501 Old Cantrell Rd	Little Rock	AR	72202	https://www.dinersdriveinsdiveslocations.com/the-fold-botanas-bar-arkansas.html
MAD GREEK'S DINER	72112 Baker Blvd	Baker	CA	92309	https://www.dinersdriveinsdiveslocations.com/mad-greeks-diner-california.html
PATRICK'S ROADHOUSE	106 Entrada Dr.	Santa Monica	CA	90402	https://www.dinersdriveinsdiveslocations.com/patricks-roadhouse-california.html
GAFFEY STREET DINER	247 N. Gaffey St.	San Pedro	CA	90731	https://www.dinersdriveinsdiveslocations.com/gaffey-street-diner-california.html
SHOW DOGS	1020 Market St	San Francisco	CA	94102	https://www.dinersdriveinsdiveslocations.com/show-dogs-california.html
SQUEEZE INN	5301 PowerInn Rd.	Sacramento	CA	95820	https://www.dinersdriveinsdiveslocations.com/squeeze-inn-california.html
HANK'S CREEKSIDE RESTAURANT	2800 4th St.	Santa Rosa	CA	95405	https://www.dinersdriveinsdiveslocations.com/hanks-creekside-restaurant-california.html
TAYLOR'S AUTOMATIC REFRESHER	933 Main Street	St. Helena	CA	94574	https://www.dinersdriveinsdiveslocations.com/taylors-automatic-refresher-california.html
THE RUSSIAN RIVER PUB	11829 River Rd.	Forestville	CA	95436	https://www.dinersdriveinsdiveslocations.com/the-russian-river-pub-california.html
FALAFEL'S DRIVE-IN	2301 Steven's Creek Blvd.	San Jose	CA	95128	https://www.dinersdriveinsdiveslocations.com/falafels-drive-in-california.html
RAMONA CAFE	628 Main St.	Ramona	CA	92605	https://www.dinersdriveinsdiveslocations.com/ramona-cafe-california.html
EMMA JEAN'S HOLLAND BURGER CAFE	17143 N. D St.	Victorville	CA	92394	https://www.dinersdriveinsdiveslocations.com/emma-jeans-holland-burger-cafe-california.html
HODAD'S	5012 Newport Ave.	Ocean Beach	CA	92107	https://www.dinersdriveinsdiveslocations.com/hodads-california.html
DUARTE'S TAVERN	202 Stage Rd.	Pescadero	CA	94060	https://www.dinersdriveinsdiveslocations.com/duartes-tavern-california.html
JAY BEE'S BAR-B-QUE	15911 S. Avalon Blvd	Gardena	CA	90247	https://www.dinersdriveinsdiveslocations.com/jay-bees-bar-b-que-california.html
WILLIE BIRD'S RESTAURANT	1150 Santa Rosa Ave.	Santa Rosa	CA	95404	https://www.dinersdriveinsdiveslocations.com/willie-birds-restaurant-california.html
GRUBSTAKE DINER	1525 Pine Street	San Francisco	CA	94109	https://www.dinersdriveinsdiveslocations.com/grubstake-diner-california.html
LOS TAPATIOS	354 N White Rd.	San Jose	CA	95127	https://www.dinersdriveinsdiveslocations.com/los-tapatios-california.html
EL INDIO	3695 India St.	San Diego	CA	92103	https://www.dinersdriveinsdiveslocations.com/el-indio-california.html
STUDIO DINER	4701 Ruffin Rd.	San Diego	CA	92123	https://www.dinersdriveinsdiveslocations.com/studio-diner-california.html
SCHOONER OR LATER	241 N. Marina Dr.	Long Beach	CA	90803	https://www.dinersdriveinsdiveslocations.com/schooner-or-later-california.html
JOE'S CABLE CAR	4320 Mission St.	San Francisco	CA	94112	https://www.dinersdriveinsdiveslocations.com/joes-cable-car-california.html
TIOLI'S CRAZEE BURGER	4201 30th Street	San Diego	CA	92104	https://www.dinersdriveinsdiveslocations.com/tiolis-crazee-burger-california.html
PIZZERIA LUIGI	1137 25th St	San Diego	CA	92102	https://www.dinersdriveinsdiveslocations.com/pizzeria-luigi-california.html
TOMMY'S JOYNT	1101 Geary Blvd.	San Francisco	CA	94109	https://www.dinersdriveinsdiveslocations.com/tommys-joynt-california.html
HOB NOB HILL	2271 First Ave	San Diego	CA	92101	https://www.dinersdriveinsdiveslocations.com/hob-nob-hill-california.html
GORILLA BARBEQUE	2145 Coast Highway 1	Pacifica	CA	94044	https://www.dinersdriveinsdiveslocations.com/gorilla-bbq-california.html
GIUSTI'S	14743 Walnut Grove-Thornton Road	Walnut Grove	CA	95690	https://www.dinersdriveinsdiveslocations.com/giustis-california.html
JAMIE'S BAR & GRILL	427 Broadway	Sacramento	CA	95818	https://www.dinersdriveinsdiveslocations.com/jamies-bar-and-grill-california.html
BLUE WATER SEAFOOD MARKET & GRILL	3667 India St	San Diego	CA	92103	https://www.dinersdriveinsdiveslocations.com/blue-water-seafood-market-grill-california.html
CAFE ROLLE	5357 H St	Sacramento	CA	95819	https://www.dinersdriveinsdiveslocations.com/cafe-rolle-california.html
BUBBA'S DINER	566 San Anselmo Ave	San Anselmo	CA	94960	https://www.dinersdriveinsdiveslocations.com/bubbas-diner-california.html
SOL FOOD PUERTO RICAN CUISINE	732 4th St	San Rafael	CA	94901	https://www.dinersdriveinsdiveslocations.com/sol-food-puerto-rican-cuisine-california.html
ROCCO'S CAFE	1131 Folsom Street	San Francisco	CA	94103	https://www.dinersdriveinsdiveslocations.com/roccos-cafe-california.html
DOTTIE'S TRUE BLUE CAFE	28 6th St.	San Francisco	CA	94103	https://www.dinersdriveinsdiveslocations.com/dotties-true-blue-cafe-california.html
POLKA RESTAURANT & CATERING	4112 Verdugo Road	Los Angeles	CA	90065	https://www.dinersdriveinsdiveslocations.com/polka-restaurant-catering-california.html
FAB HOT DOGS	19417 Victory Blvd.	Reseda	CA	91335	https://www.dinersdriveinsdiveslocations.com/fab-hot-dogs-california.html
LA TEXANITA	1667 Sebastopol Road	Santa Rosa	CA	95407	https://www.dinersdriveinsdiveslocations.com/la-texanita-california.html
MOM'S TAMALES	3328 Pasadena Ave.	Los Angeles	CA	90031	https://www.dinersdriveinsdiveslocations.com/moms-tamales-california.html
NICKEL DINER	524 South Main Street	Los Angeles	CA	90012	https://www.dinersdriveinsdiveslocations.com/nickel-diner-california.html
MAMBO's CAFE	1701 Victory Blvd	Glendale	CA	91201	https://www.dinersdriveinsdiveslocations.com/mambos-cafe-california.html
BABY BLUES BBQ	444 Lincoln Blvd.	Venice	CA	90291	https://www.dinersdriveinsdiveslocations.com/baby-blues-bbq-california.html
SANTA CRUZ DINER	909 Ocean St.	Santa Cruz	CA	95060	https://www.dinersdriveinsdiveslocations.com/santa-cruz-diner-california.html
TEE OFF BAR & GRILL	3129 Clement St	San Francisco	CA	94121	https://www.dinersdriveinsdiveslocations.com/tee-off-bar-grill-california.html
Q RESTAURANT	225 Clement Street	San Francisco	CA	94118	https://www.dinersdriveinsdiveslocations.com/q-restaurant-california.html
THE OINKSTER	2005 Colorado Blvd.	Eagle Rock	CA	90041	https://www.dinersdriveinsdiveslocations.com/the-oinkster-california.html
RUDY'S CAN'T FAIL CAFE	4081 Hollis Street	Emeryville	CA	94608	https://www.dinersdriveinsdiveslocations.com/rudys-cant-fail-cafe-california.html
900 GRAYSON RESTAURANT	900 Grayson Street	Berkeley	CA	94710	https://www.dinersdriveinsdiveslocations.com/900-grayson-restaurant-california.html
RICK & ANN'S RESTAURANT	2922 Domingo Ave.	Berkeley	CA	94705	https://www.dinersdriveinsdiveslocations.com/rick-anns-restaurant-california.html
BETTE'S OCEANVIEW DINER	1807 4th St.	Berkeley	CA	94710	https://www.dinersdriveinsdiveslocations.com/bettes-oceanview-diner-california.html
NAGLEE PARK GARAGE	505 East San Carlos St.	San Jose	CA	95112	https://www.dinersdriveinsdiveslocations.com/naglee-park-garage-california.html
ALDO'S HARBOR RESTAURANT	616 Atlantic Ave.	Santa Cruz	CA	95062	https://www.dinersdriveinsdiveslocations.com/aldos-harbor-restaurant-california.html
PIER 23 CAFE	Pier 23	San Francisco	CA	94111	https://www.dinersdriveinsdiveslocations.com/pier-23-cafe-california.html
NORTH END CAFFE	3421 N Highland Ave.	Manhattan Beach	CA	90266	https://www.dinersdriveinsdiveslocations.com/north-end-caffe-california.html
GLORIA'S CAFE	10227 Venice Boulevard	Los Angeles	CA	90034	https://www.dinersdriveinsdiveslocations.com/glorias-cafe-california.html
CAFE CITTI	9049 Sonoma Highway	Kenwood	CA	95452	https://www.dinersdriveinsdiveslocations.com/cafe-citti-california.html
AT LAST CAFE	204 Orange Ave.	Long Beach	CA	90802	https://www.dinersdriveinsdiveslocations.com/at-last-cafe-california.html
SCHELLVILLE GRILL	22900 Broadway	Sonoma	CA	95476	https://www.dinersdriveinsdiveslocations.com/schellville-grill-california.html
JAX AT THE TRACKS	10144 West River St.	Truckee	CA	96160	https://www.dinersdriveinsdiveslocations.com/jax-at-the-tracks-california.html
DON CHOW TACOS	West Los Angeles	Santa Monica	CA		https://www.dinersdriveinsdiveslocations.com/don-chow-tacos-california.html
BURGER ME	10418 Donner Pass Road	Truckee	CA	96161	https://www.dinersdriveinsdiveslocations.com/burger-me-california.html
PAUL'S COFFEE SHOP	16947 Bushard St.	Fountain Valley	CA	92708	https://www.dinersdriveinsdiveslocations.com/pauls-coffee-shop-california.html
MAMA COZZA'S	2170 West Ball Road	Anaheim	CA	92804	https://www.dinersdriveinsdiveslocations.com/mama-cozzas-california.html
BRATS BROTHERS	13355 Ventura Blvd.	Sherman Oaks	CA	91423	https://www.dinersdriveinsdiveslocations.com/brats-brothers-california.html
MEAL TICKET	1235 San Pablo Ave.	Berkeley	CA	94706	https://www.dinersdriveinsdiveslocations.com/meal-ticket-california.html
THE GOLDEN BEAR	2326 K St.	Sacramento	CA	95816	https://www.dinersdriveinsdiveslocations.com/the-golden-bear-california.html
WOW - WORTH OUR WEIGHT	1021 Hahman Dr.	Santa Rosa	CA	95405	https://www.dinersdriveinsdiveslocations.com/wow-worth-our-weight-california.html
GATSBY'S DINER	2598 Alta Arden Expressway	Sacramento	CA	95825	https://www.dinersdriveinsdiveslocations.com/gatsbys-diner-california.html
AUNT MARY'S CAFE	4307 Telegraph Avenue	Oakland	CA	94609	https://www.dinersdriveinsdiveslocations.com/aunt-marys-cafe-california.html
DAD'S KITCHEN	2968 Freeport Blvd	Sacramento	CA	95818	https://www.dinersdriveinsdiveslocations.com/dads-kitchen-california.html
SUNFLOWER CAFFE	421 1st St West	Sonoma	CA	95476	https://www.dinersdriveinsdiveslocations.com/sunflower-caffe-california.html
PUTAH CREEK CAFE	1 Main St.	Winters	CA	95694	https://www.dinersdriveinsdiveslocations.com/putah-creek-cafe-california.html
JIMTOWN STORE	6706 Highway 128	Healdsburg	CA	95448	https://www.dinersdriveinsdiveslocations.com/jimtown-store-california.html
CATELLI'S	21047 Geyserville Ave.	Geyserville	CA	95441	https://www.dinersdriveinsdiveslocations.com/catellis-california.html
HRD COFFEE SHOP	521 #A 3rd St.	San Francisco	CA	94107	https://www.dinersdriveinsdiveslocations.com/hrd-coffee-shop-california.html
BROKEN RECORD	1166 Geneva Ave.	San Francisco	CA	94112	https://www.dinersdriveinsdiveslocations.com/broken-record-california.html
LITO'S MEXICAN RESTAURANT	514 E. Haley St.	Santa Barbara	CA	93103	https://www.dinersdriveinsdiveslocations.com/litos-mexican-restaurant-california.html
MAC'S FISH & CHIP SHOP	503 State St.	Santa Barbara	CA	93101	https://www.dinersdriveinsdiveslocations.com/macs-fish-and-chip-shop-california.html
THE KITCHEN	529 S. A St.	Oxnard	CA	93030	https://www.dinersdriveinsdiveslocations.com/the-kitchen-california.html
NORTON'S PASTRAMI & DELI	18 W. Figueroa St	Santa Barbara	CA	93103	https://www.dinersdriveinsdiveslocations.com/nortons-pastrami-and-deli-california.html
SAVOY CAFE & DELI	24 W. Figueroa St.	Santa Barbara	CA	93101	https://www.dinersdriveinsdiveslocations.com/savoy-cafe-and-deli-california.html
PETE'S BREAKFAST HOUSE	2055 E. Main St.	Ventura	CA	93001	https://www.dinersdriveinsdiveslocations.com/petes-breakfast-house-california.html
JOHNNY GARLIC'S	1460 Farmers Lane	Santa Rosa	CA	95405	https://www.dinersdriveinsdiveslocations.com/johnny-garlics-california.html
GOLDEN STATE	426 N Fairfax Ave	Los Angeles	CA	90036	https://www.dinersdriveinsdiveslocations.com/golden-state-california.html
BEER BELLY	532 S Western Ave	Los Angeles	CA	90020	https://www.dinersdriveinsdiveslocations.com/beer-belly-california.html
CHOMP CHOMP NATION	Moving Food Truck	Orange County	CA	92612	https://www.dinersdriveinsdiveslocations.com/chomp-chomp-nation-california.html
CHILI JOHN'S	2018 W Burbank Blvd	Burbank	CA	91506	https://www.dinersdriveinsdiveslocations.com/chili-johns-california.html
BLUDSO'S BBQ	811 S Long Beach Blvd	Compton	CA	90221	https://www.dinersdriveinsdiveslocations.com/bludsos-bbq-california.html
HAGGO'S ORGANIC TACO	1114 N Coast Hwy	Encinitas	CA	92024	https://www.dinersdriveinsdiveslocations.com/haggos-organic-taco-california.html
THE PARK'S FINEST	811 S Long Beach Blvd	Compton	CA	90221	https://www.dinersdriveinsdiveslocations.com/the-parks-finest-california.html
EASTSIDE MARKET ITALIAN DELI	811 S Long Beach Blvd	Compton	CA	90221	https://www.dinersdriveinsdiveslocations.com/eastside-market-italian-deli-california.html
OB NOODLE HOUSE	2218 Cable St.	San Diego	CA	92107	https://www.dinersdriveinsdiveslocations.com/ob-noodle-house-california.html
SPIRITOS ITALIAN DINER	2508 El Camino Rea	Carlsbad	CA	92008	https://www.dinersdriveinsdiveslocations.com/spiritos-italian-diner-california.html
NOPALITO	306 Broderick St	San Francisco	CA	94117	https://www.dinersdriveinsdiveslocations.com/nopalito-california.html
PICA PICA MAIZE KITCHEN	401 Valencia St	San Francisco	CA	94103	https://www.dinersdriveinsdiveslocations.com/pica-pica-maize-kitchen-california.html
CREST CAFE	425 Robinson Ave	San Diego	CA	92103	https://www.dinersdriveinsdiveslocations.com/crest-cafe-california.html
REFUGE	963 Laurel St	San Carlos	CA	94070	https://www.dinersdriveinsdiveslocations.com/refuge-california.html
MILLER'S EAST COAST DELI	725 Polk St	San Francisco	CA	94109	https://www.dinersdriveinsdiveslocations.com/millers-east-coast-deli-california.html
KOJA KITCHEN	Marina / Cow Hollow	San Francisco	CA	94123	https://www.dinersdriveinsdiveslocations.com/koja-kitchen-california.html
THE FRONT PORCH	65 29th St	San Francisco	CA	94110	https://www.dinersdriveinsdiveslocations.com/the-front-porch-california.html
SENOR SISIG	Financial District	San Francisco	CA	94115	https://www.dinersdriveinsdiveslocations.com/senor-sisig-california.html
HOTEL IVANHOE	315 Main Street	Ferndale	CA	95536	https://www.dinersdriveinsdiveslocations.com/hotel-ivanhoe-california.html
FERNDALE MEAT Co.	376 Main St	Ferndale	CA	95536	https://www.dinersdriveinsdiveslocations.com/ferndale-meat-co-california.html
THE AWESOME PRETZEL CART	Street Food Cart	Ferndale	CA	95536	https://www.dinersdriveinsdiveslocations.com/the-awesome-pretzel-cart-california.html
CLENDENEN'S CIDER WORKS	96 South 12th Street	Fortuna	CA	95540	https://www.dinersdriveinsdiveslocations.com/clendenens-cider-works-california.html
LOLETA CHEESE FACTORY	252 Loleta Dr	Loleta	CA	95551	https://www.dinersdriveinsdiveslocations.com/loleta-cheese-factory-california.html
HUMBOLDT SWEETS BAKERY & CAFE	399 Main St	Ferndale	CA	95536	https://www.dinersdriveinsdiveslocations.com/humboldt-sweets-california.html
LIVE FROM NEW YORK PIZZA	604 F Street	Eureka	CA	95501	https://www.dinersdriveinsdiveslocations.com/pauls-live-from-new-york-pizza-california.html
BRICK & FIRE BISTRO	1630 F St	Eureka	CA	95501	https://www.dinersdriveinsdiveslocations.com/brick-fire-bistro-california.html
BLESS MY SOUL CAFE	29 Fifth Street	Eureka	CA	95501	https://www.dinersdriveinsdiveslocations.com/bless-my-soul-cafe-california.html
CAFE NOONER	409 Opera Alley	Eureka	CA	95501	https://www.dinersdriveinsdiveslocations.com/cafe-nooner-california.html
TAMARINDO FOOD TRUCK	Moving Food Truck	Orange County	CA	92656	https://www.dinersdriveinsdiveslocations.com/tamarindo-food-truck-california.html
FAT SAL'S DELI	972 Gayley Ave	Los Angeles	CA	90024	https://www.dinersdriveinsdiveslocations.com/fat-sals-deli-california.html
LOULOU'S GRIDDLE IN THE MIDDLE	Municipal Wharf 2	Monterey	CA	93940	https://www.dinersdriveinsdiveslocations.com/loulous-griddle-in-the-middle-california.html
THE FACTORY GASTROBAR	4020 Atlantic Ave	Long Beach	CA	90807	https://www.dinersdriveinsdiveslocations.com/the-factory-gastrobar-california.html
STARLING DINER	4114 E 3rd St	Long Beach	CA	90814	https://www.dinersdriveinsdiveslocations.com/starling-diner-california.html
TAVERN ON 2	5110 E 2nd St	Long Beach	CA	90803	https://www.dinersdriveinsdiveslocations.com/tavern-on-2-california.html
CANNERY ROW BREWING COMPANY	95 Prescott Ave	Monterey	CA	93940	https://www.dinersdriveinsdiveslocations.com/cannery-row-brewing-company-california.html
THE WILD PLUM CAFE & BAKERY	434 Alvarado St	Monterey	CA	93940	https://www.dinersdriveinsdiveslocations.com/the-wild-plum-california.html
ROSINE'S RESTAURANT	95 Prescott Ave	Monterey	CA	93940	https://www.dinersdriveinsdiveslocations.com/rosines-california.html
